,time_open_utc,time_close_utc,open,high,low,close,volume,bb_h,bb_l
19,2023-03-01 01:35:00,2023-03-01 01:39:59.999,23263.7,23278.0,23210.01,23242.52,1114.58154,23259.629264594052,23049.650735405947
20,2023-03-01 01:40:00,2023-03-01 01:44:59.999,23242.5,23244.05,23209.43,23238.27,710.87214,23268.38890838302,23046.847091616975
21,2023-03-01 01:45:00,2023-03-01 01:49:59.999,23237.52,23254.57,23224.5,23246.04,720.63607,23279.645362487332,23048.188637512663
22,2023-03-01 01:50:00,2023-03-01 01:54:59.999,23245.38,23296.94,23238.27,23253.45,1109.06552,23290.682398203928,23046.505601796074
23,2023-03-01 01:55:00,2023-03-01 01:59:59.999,23252.67,23269.69,23231.29,23245.96,883.44713,23298.253728738873,23045.136271261126
24,2023-03-01 02:00:00,2023-03-01 02:04:59.999,23245.96,23263.9,23237.2,23238.37,612.71009,23302.78929886656,23044.249701133445
25,2023-03-01 02:05:00,2023-03-01 02:09:59.999,23239.16,23250.02,23235.64,23244.55,446.9621,23310.13920646097,23044.341793539028
26,2023-03-01 02:10:00,2023-03-01 02:14:59.999,23244.55,23265.39,23240.0,23260.21,561.87033,23317.842542990602,23042.8114570094
27,2023-03-01 02:15:00,2023-03-01 02:19:59.999,23261.12,23282.97,23256.68,23280.25,480.07735,23329.253817224562,23040.729182775438
28,2023-03-01 02:20:00,2023-03-01 02:24:59.999,23280.72,23288.78,23244.7,23246.3,723.63134,23335.461234832615,23044.602765167383
29,2023-03-01 02:25:00,2023-03-01 02:29:59.999,23246.3,23272.63,23240.3,23244.87,501.3239,23337.565306766694,23057.877693233306
30,2023-03-01 02:30:00,2023-03-01 02:34:59.999,23244.87,23265.55,23234.2,23265.55,693.96324,23328.516318911512,23090.697681088488
31,2023-03-01 02:35:00,2023-03-01 02:39:59.999,23265.55,23295.44,23262.24,23276.64,979.47846,23329.611841880618,23107.166158119388
32,2023-03-01 02:40:00,2023-03-01 02:44:59.999,23276.04,23321.76,23274.29,23295.99,793.0234,23332.109736512997,23123.200263487
33,2023-03-01 02:45:00,2023-03-01 02:49:59.999,23294.43,23313.32,23288.5,23291.5,623.36176,23330.702305908824,23142.253694091174
34,2023-03-01 02:50:00,2023-03-01 02:54:59.999,23291.49,23314.73,23290.55,23306.65,739.57428,23336.375380990034,23150.861619009967
35,2023-03-01 02:55:00,2023-03-01 02:59:59.999,23306.65,23336.46,23300.0,23331.21,749.84514,23339.73472937788,23166.980270622116
36,2023-03-01 03:00:00,2023-03-01 03:04:59.999,23332.57,23337.14,23306.22,23329.67,841.87229,23338.863708626424,23186.615291373582
37,2023-03-01 03:05:00,2023-03-01 03:09:59.999,23329.67,23372.51,23317.78,23324.23,1517.42441,23333.016742090032,23209.683257909965
38,2023-03-01 03:10:00,2023-03-01 03:14:59.999,23324.23,23444.0,23305.97,23436.97,2030.90276,23374.741835179524,23185.178164820474
39,2023-03-01 03:15:00,2023-03-01 03:19:59.999,23435.93,23498.0,23409.48,23418.87,2974.49819,23399.46376814108,23178.09123185892
40,2023-03-01 03:20:00,2023-03-01 03:24:59.999,23420.38,23453.07,23386.84,23427.81,1643.90517,23421.737298555097,23174.7717014449
41,2023-03-01 03:25:00,2023-03-01 03:29:59.999,23428.67,23467.65,23408.93,23421.87,1320.54766,23439.14341562952,23174.948584370482
42,2023-03-01 03:30:00,2023-03-01 03:34:59.999,23423.14,23479.3,23420.86,23467.12,812.75322,23464.506233098262,23170.95276690174
43,2023-03-01 03:35:00,2023-03-01 03:39:59.999,23466.16,23489.0,23451.2,23453.11,806.61699,23482.19638285516,23173.97761714484
44,2023-03-01 03:40:00,2023-03-01 03:44:59.999,23453.83,23487.1,23443.0,23472.27,758.52859,23500.251714475966,23179.312285524033
45,2023-03-01 03:45:00,2023-03-01 03:49:59.999,23473.64,23488.0,23418.09,23431.42,943.16083,23508.081478619864,23190.16952138014
46,2023-03-01 03:50:00,2023-03-01 03:54:59.999,23431.42,23444.48,23403.67,23417.48,736.64507,23513.107349068898,23200.870650931098
47,2023-03-01 03:55:00,2023-03-01 03:59:59.999,23417.48,23448.28,23417.48,23441.14,559.83913,23521.086652262293,23208.980347737703
48,2023-03-01 04:00:00,2023-03-01 04:04:59.999,23440.37,23456.5,23432.28,23434.76,605.2559,23523.28607626426,23225.62692373574
49,2023-03-01 04:05:00,2023-03-01 04:09:59.999,23433.87,23444.71,23430.63,23433.24,555.66622,23522.1789333497,23245.5710666503
50,2023-03-01 04:10:00,2023-03-01 04:14:59.999,23434.11,23445.05,23425.44,23431.39,439.64586,23520.636151332135,23263.697848667867
51,2023-03-01 04:15:00,2023-03-01 04:19:59.999,23430.69,23474.41,23428.88,23443.39,646.40709,23519.170960379495,23281.838039620503
52,2023-03-01 04:20:00,2023-03-01 04:24:59.999,23443.39,23481.52,23442.56,23469.87,656.9968,23521.256719917143,23297.140280082855
53,2023-03-01 04:25:00,2023-03-01 04:29:59.999,23469.87,23485.43,23457.74,23468.05,535.34179,23518.859814050644,23317.19218594936
54,2023-03-01 04:30:00,2023-03-01 04:34:59.999,23468.05,23500.0,23466.57,23478.97,707.20196,23516.82197440674,23336.46202559326
55,2023-03-01 04:35:00,2023-03-01 04:39:59.999,23478.97,23529.97,23476.77,23502.0,1267.32095,23519.76901592877,23350.593984071227
56,2023-03-01 04:40:00,2023-03-01 04:44:59.999,23502.0,23528.39,23486.04,23491.64,746.00389,23516.106383680646,23370.45361631935
57,2023-03-01 04:45:00,2023-03-01 04:49:59.999,23492.12,23748.94,23490.56,23721.21,3859.04634,23590.965565332463,23335.29243466753
58,2023-03-01 04:50:00,2023-03-01 04:54:59.999,23721.21,23820.0,23717.08,23810.53,3738.24887,23679.157827218947,23284.456172781054
59,2023-03-01 04:55:00,2023-03-01 04:59:59.999,23812.31,23847.0,23764.59,23794.48,1688.12834,23737.857784854645,23263.31721514536
60,2023-03-01 05:00:00,2023-03-01 05:04:59.999,23794.48,23821.56,23749.17,23776.77,1474.00806,23781.237891742563,23254.83310825744
61,2023-03-01 05:05:00,2023-03-01 05:09:59.999,23776.89,23798.77,23761.61,23762.82,890.42645,23814.810295064326,23255.35570493567
62,2023-03-01 05:10:00,2023-03-01 05:14:59.999,23761.9,23786.72,23727.79,23733.55,880.33089,23839.078795903515,23257.73020409648
63,2023-03-01 05:15:00,2023-03-01 05:19:59.999,23734.91,23762.5,23676.24,23683.72,1240.43825,23852.860903839188,23267.009096160808
64,2023-03-01 05:20:00,2023-03-01 05:24:59.999,23683.72,23707.83,23646.16,23674.78,1624.74148,23864.1630781917,23275.957921808298
65,2023-03-01 05:25:00,2023-03-01 05:29:59.999,23674.78,23699.76,23649.96,23682.34,1175.99192,23873.37069588905,23291.842304110953
66,2023-03-01 05:30:00,2023-03-01 05:34:59.999,23682.34,23704.97,23664.1,23675.68,842.63113,23878.635429587917,23312.397570412086
67,2023-03-01 05:35:00,2023-03-01 05:39:59.999,23675.68,23705.59,23631.97,23697.74,1353.74919,23885.51323813971,23331.17976186029
68,2023-03-01 05:40:00,2023-03-01 05:44:59.999,23697.74,23725.72,23660.52,23682.98,1181.45092,23887.76470273994,23353.75029726006
69,2023-03-01 05:45:00,2023-03-01 05:49:59.999,23682.99,23691.37,23652.42,23671.76,656.50222,23886.08361217639,23379.28338782361
70,2023-03-01 05:50:00,2023-03-01 05:54:59.999,23671.58,23700.0,23666.99,23685.81,576.03272,23882.10049037374,23408.708509626253
71,2023-03-01 05:55:00,2023-03-01 05:59:59.999,23686.47,23705.6,23673.34,23694.17,576.70623,23876.369068400334,23439.51793159967
72,2023-03-01 06:00:00,2023-03-01 06:04:59.999,23695.14,23709.46,23672.0,23674.8,678.19772,23868.869510463846,23467.51048953616
73,2023-03-01 06:05:00,2023-03-01 06:09:59.999,23674.8,23688.28,23666.0,23682.07,598.88966,23857.33299975344,23500.449000246554
74,2023-03-01 06:10:00,2023-03-01 06:14:59.999,23682.87,23746.55,23676.54,23706.07,1095.27332,23843.47739866231,23537.014601337687
